Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Burkina Faso","Nourriture","Viande de Volailles","2015","Milliers de tonnes","52"
"Bilans Alimentaires (2010-)","Burkina Faso","Nourriture","Viande de Volailles","2019","Milliers de tonnes","44"
"Bilans Alimentaires (2010-)","Burundi","Nourriture","Viande de Volailles","2015","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Burundi","Nourriture","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Cabo Verde","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Cabo Verde","Nourriture","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Cambodge","Nourriture","Viande de Volailles","2015","Milliers de tonnes","28"
"Bilans Alimentaires (2010-)","Cambodge","Nourriture","Viande de Volailles","2019","Milliers de tonnes","35"
"Bilans Alimentaires (2010-)","Cameroun","Nourriture","Viande de Volailles","2015","Milliers de tonnes","81"
"Bilans Alimentaires (2010-)","Cameroun","Nourriture","Viande de Volailles","2019","Milliers de tonnes","85"
"Bilans Alimentaires (2010-)","Canada","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1365"
"Bilans Alimentaires (2010-)","Canada","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1537"
"Bilans Alimentaires (2010-)","Chili","Nourriture","Viande de Volailles","2015","Milliers de tonnes","682"
"Bilans Alimentaires (2010-)","Chili","Nourriture","Viande de Volailles","2019","Milliers de tonnes","680"
"Bilans Alimentaires (2010-)","Chine","Nourriture","Viande de Volailles","2015","Milliers de tonnes","19897"
"Bilans Alimentaires (2010-)","Chine","Nourriture","Viande de Volailles","2019","Milliers de tonnes","21715"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Nourriture","Viande de Volailles","2015","Milliers de tonnes","273"
"Bilans Alimentaires (2010-)","Chine - RAS de Hong-Kong","Nourriture","Viande de Volailles","2019","Milliers de tonnes","399"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Nourriture","Viande de Volailles","2015","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Chine - RAS de Macao","Nourriture","Viande de Volailles","2019","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Chine, continentale","Nourriture","Viande de Volailles","2015","Milliers de tonnes","18810"
"Bilans Alimentaires (2010-)","Chine, continentale","Nourriture","Viande de Volailles","2019","Milliers de tonnes","20372"
"Bilans Alimentaires (2010-)","Chine, Taiwan Province de","Nourriture","Viande de Volailles","2015","Milliers de tonnes","793"
"Bilans Alimentaires (2010-)","Chine, Taiwan Province de","Nourriture","Viande de Volailles","2019","Milliers de tonnes","922"
"Bilans Alimentaires (2010-)","Chypre","Nourriture","Viande de Volailles","2015","Milliers de tonnes","28"
"Bilans Alimentaires (2010-)","Chypre","Nourriture","Viande de Volailles","2019","Milliers de tonnes","31"
"Bilans Alimentaires (2010-)","Colombie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1477"
"Bilans Alimentaires (2010-)","Colombie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1808"
"Bilans Alimentaires (2010-)","Comores","Nourriture","Viande de Volailles","2015","Milliers de tonnes","12"
"Bilans Alimentaires (2010-)","Comores","Nourriture","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Congo","Nourriture","Viande de Volailles","2015","Milliers de tonnes","75"
"Bilans Alimentaires (2010-)","Congo","Nourriture","Viande de Volailles","2019","Milliers de tonnes","113"
"Bilans Alimentaires (2010-)","Costa Rica","Nourriture","Viande de Volailles","2015","Milliers de tonnes","122"
"Bilans Alimentaires (2010-)","Costa Rica","Nourriture","Viande de Volailles","2019","Milliers de tonnes","137"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Nourriture","Viande de Volailles","2015","Milliers de tonnes","48"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Nourriture","Viande de Volailles","2019","Milliers de tonnes","54"
"Bilans Alimentaires (2010-)","Croatie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","39"
"Bilans Alimentaires (2010-)","Croatie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","68"
"Bilans Alimentaires (2010-)","Cuba","Nourriture","Viande de Volailles","2015","Milliers de tonnes","214"
"Bilans Alimentaires (2010-)","Cuba","Nourriture","Viande de Volailles","2019","Milliers de tonnes","315"
"Bilans Alimentaires (2010-)","Danemark","Nourriture","Viande de Volailles","2015","Milliers de tonnes","104"
"Bilans Alimentaires (2010-)","Danemark","Nourriture","Viande de Volailles","2019","Milliers de tonnes","146"
"Bilans Alimentaires (2010-)","Djibouti","Nourriture","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Djibouti","Nourriture","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Dominique","Nourriture","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Dominique","Nourriture","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Égypte","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1215"
"Bilans Alimentaires (2010-)","Égypte","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1490"
"Bilans Alimentaires (2010-)","El Salvador","Nourriture","Viande de Volailles","2015","Milliers de tonnes","147"
