Zone,Élément,Valeur
Malawi,Importations - Quantité,0
Malawi,Exportations - Quantité,0
Maldives,Importations - Quantité,11
Mali,Importations - Quantité,1
Mali,Exportations - Quantité,0
Malte,Importations - Quantité,9
Malte,Exportations - Quantité,0
Maroc,Importations - Quantité,7
Maroc,Exportations - Quantité,1
Maurice,Importations - Quantité,4
Maurice,Exportations - Quantité,0
Mauritanie,Importations - Quantité,31
Mexique,Importations - Quantité,1033
Mexique,Exportations - Quantité,5
Mongolie,Importations - Quantité,14
Mongolie,Exportations - Quantité,0
Monténégro,Importations - Quantité,7
Monténégro,Exportations - Quantité,0
Mozambique,Importations - Quantité,24
Mozambique,Exportations - Quantité,0
Myanmar,Importations - Quantité,1
Myanmar,Exportations - Quantité,0
Namibie,Importations - Quantité,31
Namibie,Exportations - Quantité,14
Népal,Importations - Quantité,0
Nicaragua,Importations - Quantité,7
Nicaragua,Exportations - Quantité,0
Niger,Importations - Quantité,3
Nigéria,Importations - Quantité,12
Nigéria,Exportations - Quantité,0
Norvège,Importations - Quantité,3
Norvège,Exportations - Quantité,0
Nouvelle-Calédonie,Importations - Quantité,10
Nouvelle-Calédonie,Exportations - Quantité,0
Nouvelle-Zélande,Importations - Quantité,1
Nouvelle-Zélande,Exportations - Quantité,18
Oman,Importations - Quantité,115
Oman,Exportations - Quantité,9
Ouganda,Importations - Quantité,0
Ouganda,Exportations - Quantité,0
Ouzbékistan,Importations - Quantité,21
Ouzbékistan,Exportations - Quantité,0
Pakistan,Importations - Quantité,0
Pakistan,Exportations - Quantité,5
Panama,Importations - Quantité,22
Panama,Exportations - Quantité,0
Papouasie-Nouvelle-Guinée,Importations - Quantité,30
Paraguay,Importations - Quantité,1
Paraguay,Exportations - Quantité,6
Pays-Bas,Importations - Quantité,602
Pays-Bas,Exportations - Quantité,1493
Pérou,Importations - Quantité,71
Pérou,Exportations - Quantité,1
Philippines,Importations - Quantité,306
Philippines,Exportations - Quantité,2
Pologne,Importations - Quantité,88
Pologne,Exportations - Quantité,1294
Polynésie française,Importations - Quantité,17
Portugal,Importations - Quantité,90
Portugal,Exportations - Quantité,27
République arabe syrienne,Importations - Quantité,23
République arabe syrienne,Exportations - Quantité,0
République centrafricaine,Importations - Quantité,6
République de Corée,Importations - Quantité,185
République de Corée,Exportations - Quantité,51
République de Moldova,Importations - Quantité,23
République de Moldova,Exportations - Quantité,0
République démocratique du Congo,Importations - Quantité,130
République démocratique du Congo,Exportations - Quantité,0
République démocratique populaire lao,Importations - Quantité,4
République démocratique populaire lao,Exportations - Quantité,0
République dominicaine,Importations - Quantité,54
République populaire démocratique de Corée,Importations - Quantité,6
